STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL_CASES,AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,GENERAL_VOTES,POSTAL_VOTES,TOTAL_VOTES,OVER_TOTAL_ELECTORS_IN_CONSTITUENCY,OVER_TOTAL_VOTES_POLLED_IN_CONSTITUENCY,TOTAL_ELECTORS,LITERATE
TAMIL NADU,KANCHEEPURAM,Maragatham K,0,AIADMK,TWO LEAVES,FEMALE,0,36,SC,Post Graduate,19631546,6500000,396432,940,397372,24.17116385,32.09380386,1643992,Literate
TAMIL NADU,KANCHEEPURAM,Sivaranjani.D,0,NTK,GANNA KISAN,FEMALE,0,26,SC,Post Graduate,15014,0,62607,164,62771,3.818205928,5.069708389,1643992,Literate
TAMIL NADU,KANCHEEPURAM,Munusamy A,0,IND,GIFT PACK,MALE,0,51,SC,Post Graduate,21615246,0,55157,56,55213,3.358471331,4.459285487,1643992,Literate
TAMIL NADU,KANCHEEPURAM,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,21591,70,21661,1.317585487,1.749453624,1643992,Not Available
ODISHA,KANDHAMAL,ACHYUTANANDA SAMANTA,1,BJD,CONCH,MALE,0,55,GENERAL,Doctorate,1244722,0,461154,525,461679,35.82611786,49.00837649,1288666,Literate
ODISHA,KANDHAMAL,Mahameghabahan Aira Kharabela Swain,0,BJP,LOTUS,MALE,0,66,GENERAL,Post Graduate,9415000,1050000,310883,1580,312463,24.24701203,33.1687262,1288666,Literate
ODISHA,KANDHAMAL,Manoj Kumar Acharya,0,INC,HAND,MALE,0,37,GENERAL,Graduate,5330945,0,138647,346,138993,10.78580486,14.75445336,1288666,Literate
ODISHA,KANDHAMAL,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,13247,6,13253,1.028427847,1.40683898,1288666,Not Available
HIMACHAL PRADESH,KANGRA,Kishan Kapoor,1,BJP,LOTUS,MALE,2,67,ST,12th Pass,85841247,3605161,712133,13085,725218,50.8091286,71.83534148,1427338,Literate
HIMACHAL PRADESH,KANGRA,Pawan Kajal,0,INC,HAND,MALE,0,45,GENERAL,10th Pass,79478472,6642582,245474,2121,247595,17.34662708,24.52513778,1427338,Literate
HIMACHAL PRADESH,KANGRA,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,11195,132,11327,0.793575173,1.121978375,1427338,Not Available
CHHATTISGARH,KANKER,MOHAN MANDAVI,1,BJP,LOTUS,MALE,0,61,ST,Post Graduate,28675553,679000,543376,2857,546233,35.03847456,47.07918945,1558952,Literate
CHHATTISGARH,KANKER,BIRESH THAKUR,0,INC,HAND,MALE,0,52,ST,Post Graduate,6666614,0,537999,1320,539319,34.59497149,46.4832798,1558952,Literate
CHHATTISGARH,KANKER,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,26692,21,26713,1.713522931,2.302362522,1558952,Not Available
UTTAR PRADESH,KANNAUJ,SUBRAT PATHAK,1,BJP,LOTUS,MALE,11,39,GENERAL,Graduate,54287991,28993930,561286,1801,563087,30.03412587,49.35095553,1874824,Literate
UTTAR PRADESH,KANNAUJ,DIMPLE YADAV,0,SP,BICYCLE,FEMALE,0,41,GENERAL,Graduate,377859166,2853000,549200,1534,550734,29.37523736,48.2682945,1874824,Literate
TAMIL NADU,KANNIYAKUMARI,Vasanthakumar. H,1,INC,HAND,MALE,0,68,GENERAL,Post Graduate,4174930444,1547511439,624627,2608,627235,41.78084929,59.76928362,1501250,Literate
TAMIL NADU,KANNIYAKUMARI,RADHAKRISHNAN. P,0,BJP,LOTUS,MALE,0,67,GENERAL,Graduate,74996453,0,364598,2704,367302,24.46641132,35.00024299,1501250,Literate
TAMIL NADU,KANNIYAKUMARI,JAINTEEN. V,0,NTK,GANNA KISAN,MALE,0,41,GENERAL,Graduate,6208507,9000000,16810,259,17069,1.136985845,1.626506656,1501250,Literate
TAMIL NADU,KANNIYAKUMARI,LEKSHMANAN. E,0,IND,GIFT PACK,MALE,0,55,GENERAL,Post Graduate,113416099,12551484,12326,19,12345,0.822314738,1.17635624,1501250,Literate
